cdt,dotx,key_press_list,traial_start,transient_counts
2.30002403259,25.0,"[0.56050705909729, 1.7395169734954834]",1525069780.48,4
7.62353992462,12.5,"[0.6038179397583008, 1.787442922592163, 0.19562602043151855, 1.1832280158996582, 1.9413208961486816, 1.3445470333099365, 0.17163705825805664, 0.3959200382232666]",1525069862.13,16
10.3802452087,0.0,"[1.2681329250335693, 1.2195930480957031, 0.7714669704437256, 0.14763212203979492, 1.1870911121368408, 2.1094980239868164, 1.5131878852844238, 2.1636431217193604]",1525069935.62,15
7.41736626625,3.125,"[0.811884880065918, 1.2437798976898193, 0.5156309604644775, 0.6514999866485596, 1.1557049751281738, 0.4677140712738037, 0.9795868396759033, 1.1395258903503418, 0.13175487518310547, 0.3202838897705078]",1525070006.4,19
7.39674735069,6.25,"[0.8484210968017578, 0.5316488742828369, 0.611687183380127, 1.923624038696289, 1.0436160564422607, 0.4432101249694824, 0.8754808902740479, 0.16363811492919922, 0.955420970916748]",1525070084.56,18
3.70121407509,25.0,"[0.3471109867095947, 1.4369580745697021, 1.139301061630249, 0.7778439521789551]",1525070171.82,7
6.94464731216,3.125,"[0.6431989669799805, 1.1157619953155518, 1.403597116470337, 0.8118360042572021, 0.8511121273040771, 0.5556440353393555, 1.5634970664978027]",1525070238.28,14
6.48504328728,6.25,"[0.5631940364837646, 1.1395671367645264, 0.5396678447723389, 0.3645310401916504, 0.3798179626464844, 0.1958320140838623, 0.13962793350219727, 0.49159812927246094, 0.7641379833221436, 1.1236701011657715, 0.5238420963287354, 0.25955700874328613]",1525070310.05,24
9.27261567116,0.0,"[0.3799738883972168, 0.555790901184082, 1.4596350193023682, 0.45174407958984375, 1.1000499725341797, 0.16335391998291016, 1.4679169654846191, 1.6910030841827393, 0.1239321231842041, 1.6356208324432373, 0.24359488487243652]",1525070379.24,22
6.04871869087,12.5,"[0.9555718898773193, 0.45952510833740234, 0.643887996673584, 1.1838839054107666, 0.4439578056335449, 0.19545388221740723, 0.9636609554290771, 0.12366795539855957, 0.8595561981201172, 0.21955299377441406]",1525070447.73,20
6.35257554054,12.5,"[1.459604024887085, 0.3956258296966553, 1.0428180694580078, 1.4517948627471924, 1.0675618648529053, 0.4835219383239746, 0.4516489505767822]",1525070516.21,14
5.20401382446,6.25,"[1.107194185256958, 0.2756028175354004, 0.9634289741516113, 1.6063239574432373, 0.2600739002227783, 0.5957119464874268, 0.3956780433654785]",1525070582.32,14
3.44546890259,25.0,"[0.1953599452972412, 0.13132691383361816, 1.051793098449707, 0.4837040901184082, 0.21967601776123047, 1.3636088371276855]",1525070656.81,12
9.77322864532,0.0,"[0.3077061176300049, 1.3155708312988281, 1.1866891384124756, 0.39561986923217773, 0.2838878631591797, 1.856510877609253, 0.9557359218597412, 1.1763989925384521, 1.6118409633636475, 0.6832680702209473]",1525070732.73,20
7.85747671127,3.125,"[0.82753586769104, 0.5312659740447998, 0.9717319011688232, 0.21950817108154297, 1.3717889785766602, 1.1009719371795654, 2.251530885696411, 0.34740400314331055, 0.23573899269104004]",1525070800.12,18
