cdt,dotx,key_press_list,traial_start,transient_counts
9.426435709,3.125,"[1.1321780681610107, 1.4506721496582031, 1.042297124862671, 0.2670571804046631, 0.9148910045623779, 0.6669459342956543, 0.7471470832824707, 1.051199197769165, 1.0668730735778809, 0.37916088104248047, 0.7080140113830566]",1524215035.56,21
11.2556712627,0.0,"[1.290945053100586, 1.571221113204956, 1.1795289516448975, 1.0109069347381592, 0.603844165802002, 1.066838026046753, 0.5226950645446777, 0.9232821464538574, 1.7953648567199707, 1.2910449504852295]",1524215100.37,20
8.3867161274,6.25,"[1.8108551502227783, 1.7124221324920654, 0.37946486473083496, 1.3228709697723389, 0.891059160232544, 0.8830928802490234, 1.386950969696045]",1524215167.91,14
7.15386986732,12.5,"[1.546895980834961, 1.8909740447998047, 0.9310481548309326, 1.330995798110962, 0.5469799041748047, 0.9069759845733643]",1524215231.12,12
7.49400305748,25.0,"[1.4831390380859375, 1.8109419345855713, 1.746999979019165, 0.9380550384521484, 1.5148670673370361]",1524215296.28,10
5.58757090569,25.0,"[1.3308491706848145, 1.7791109085083008, 1.5709469318389893, 0.9066638946533203]",1524215361.88,8
8.41354751587,3.125,"[0.6847200393676758, 2.1549038887023926, 1.1210858821868896, 1.212289810180664, 0.8348729610443115, 0.7468938827514648, 1.6587810516357422]",1524215427.43,14
7.43294215202,6.25,"[1.4029479026794434, 1.5434720516204834, 1.0034971237182617, 0.938593864440918, 1.6349530220031738, 0.5629980564117432, 0.346480131149292]",1524215492.12,14
6.54424595833,12.5,"[1.6427550315856934, 1.7150590419769287, 1.7113618850708008, 1.4750699996948242]",1524215557.07,8
8.56195998192,0.0,"[1.3947110176086426, 1.118725061416626, 1.170823097229004, 1.2915608882904053, 0.49912190437316895, 1.1982429027557373, 0.43502211570739746, 0.7471590042114258, 0.7065939903259277]",1524215621.93,18
3.69257497787,12.5,"[0.47551608085632324, 1.515190839767456, 0.9630129337310791, 0.7388551235198975]",1524215687.3,8
1.29118299484,25.0,[1.2911829948425293],1524215752.91,2
10.0202913284,0.0,"[0.10694599151611328, 0.714771032333374, 0.24309706687927246, 1.3153660297393799, 1.92333984375, 0.49103283882141113, 0.9230108261108398, 0.8187248706817627, 1.2988879680633545, 0.9148979187011719, 0.7074079513549805, 0.5628089904785156]",1524215818.78,24
8.58265042305,6.25,"[1.1392180919647217, 2.579134941101074, 0.24287700653076172, 0.49898314476013184, 0.05087113380432129, 0.9554131031036377, 1.1390180587768555, 0.8108270168304443, 0.41117191314697266, 0.7551360130310059]",1524215888.46,20
9.38073801994,3.125,"[1.2352499961853027, 0.7946810722351074, 2.4510958194732666, 0.7721071243286133, 1.3071000576019287, 0.8620119094848633, 0.4989969730377197, 1.4594950675964355]",1524215967.68,16
