cdt,dotx,key_press_list,traial_start,transient_counts
1.75109100342,25.0,"[0.6670470237731934, 0.25081491470336914, 0.18733000755310059, 0.290881872177124, 0.35501718521118164]",1521016917.51,10
2.49002957344,6.25,"[0.24324393272399902, 0.31505799293518066, 0.33101391792297363, 0.35503602027893066, 0.3076291084289551, 0.3067929744720459, 0.034935951232910156, 0.1951138973236084, 0.05108189582824707, 0.0511629581451416, 0.29896092414855957]",1521016996.01,22
3.35663366318,12.5,"[0.21910977363586426, 0.2588660717010498, 0.31505703926086426, 0.2670459747314453, 0.2669029235839844, 0.27495312690734863, 0.21899914741516113, 0.3391098976135254, 0.3230319023132324, 0.29117488861083984, 0.29919886589050293, 0.2831840515136719]",1521017066.9,24
2.93393683434,3.125,"[0.31496286392211914, 0.29907894134521484, 0.2991139888763428, 0.29102611541748047, 0.27516698837280273, 0.3069949150085449, 0.29091787338256836, 0.29103517532348633, 0.26698899269104004, 0.29865097999572754]",1521017137.77,20
2.55845117569,0.0,"[0.3151681423187256, 0.33104515075683594, 0.24263787269592285, 0.19485807418823242, 0.2672269344329834, 0.19507598876953125, 0.20324492454528809, 0.2510230541229248, 0.2347400188446045, 0.32343101501464844]",1521017233.55,20
1.60206985474,25.0,"[0.27469801902770996, 0.19496703147888184, 0.2992079257965088, 0.19520306587219238, 0.2830069065093994, 0.35498690605163574]",1521017315.85,12
2.99678492546,0.0,"[0.2110459804534912, 0.24315714836120605, 0.2192060947418213, 0.1950089931488037, 0.21108484268188477, 0.16305303573608398, 0.34689903259277344, 0.29906678199768066, 0.2510991096496582, 0.27519798278808594, 0.2907710075378418, 0.2911949157714844]",1521017398.99,24
3.62568902969,6.25,"[0.29898595809936523, 0.2991061210632324, 0.30696916580200195, 0.3068530559539795, 0.3391118049621582, 0.2510058879852295, 0.274993896484375, 0.44300198554992676, 0.3711869716644287, 0.34696412086486816, 0.3875100612640381]",1521017474.27,22
2.62870764732,12.5,"[0.2749450206756592, 0.3229658603668213, 0.3467280864715576, 0.34703588485717773, 0.3471260070800781, 0.4989349842071533, 0.49097180366516113]",1521017555.28,14
3.15298390388,3.125,"[0.250946044921875, 0.21900010108947754, 0.21882390975952148, 0.3232591152191162, 0.2910900115966797, 0.3071479797363281, 0.4026670455932617, 0.3150458335876465, 0.31485795974731445, 0.24308085441589355, 0.26706504821777344]",1521017653.93,22
3.59876227379,6.25,"[0.23473501205444336, 0.29084110260009766, 0.31490206718444824, 0.2833740711212158, 0.34711503982543945, 0.33081889152526855, 0.32296299934387207, 0.34688305854797363, 0.554785966873169, 0.46738600730895996, 0.10495805740356445]",1521017719.74,21
4.27124166489,12.5,"[0.36319708824157715, 0.4189870357513428, 0.41899681091308594, 0.37093591690063477, 0.4031839370727539, 0.46753787994384766, 0.5309889316558838, 0.4270210266113281, 0.33922910690307617, 0.5311639308929443]",1521017823.13,20
3.02340722084,0.0,"[0.25089120864868164, 0.2191019058227539, 0.21896910667419434, 0.26732397079467773, 0.2029130458831787, 0.20304489135742188, 0.17109298706054688, 0.20339679718017578, 0.226776123046875, 0.29910802841186523, 0.2748091220855713, 0.24307608604431152, 0.2429039478302002]",1521018029.0,26
2.3916349411,25.0,"[0.21833395957946777, 0.27553796768188477, 0.2748720645904541, 0.4031529426574707, 0.3229520320892334, 0.36280202865600586, 0.29905200004577637, 0.23493194580078125]",1521018095.82,16
3.04107618332,3.125,"[0.21071219444274902, 0.2906680107116699, 0.27502894401550293, 0.29903316497802734, 0.2910618782043457, 0.20296597480773926, 0.3230431079864502, 0.3232078552246094, 0.3628349304199219, 0.29915618896484375, 0.16336393356323242]",1521018494.28,22
