cdt,dotx,key_press_list,traial_start,transient_counts
3.42541265488,12.5,"[0.39196205139160156, 0.34775686264038086, 0.7076699733734131, 0.40360093116760254, 0.34769701957702637, 0.3476448059082031, 0.34745001792907715, 0.5316309928894043]",1525862587.47,16
2.52458286285,0.0,"[0.23549699783325195, 0.2995898723602295, 0.27570486068725586, 0.2674410343170166, 0.24374604225158691, 0.21960902214050293, 0.21961402893066406, 0.2678518295288086, 0.2037980556488037, 0.2917311191558838]",1525862651.9,20
1.9421312809,25.0,"[0.3477911949157715, 0.37183213233947754, 0.3156888484954834, 0.2996070384979248, 0.2997751235961914, 0.3074369430541992]",1525862732.46,12
2.45224475861,3.125,"[0.27571702003479004, 0.24366497993469238, 0.24383902549743652, 0.2195889949798584, 0.24384617805480957, 0.28320980072021484, 0.22762799263000488, 0.21950197219848633, 0.251478910446167, 0.24376988410949707]",1525862869.2,20
3.08218789101,6.25,"[0.2757890224456787, 0.2515079975128174, 0.24341511726379395, 0.27571988105773926, 0.2515578269958496, 0.2756538391113281, 0.27596187591552734, 0.27564287185668945, 0.2758321762084961, 0.251676082611084, 0.27588605880737305, 0.15354514122009277]",1525862940.0,23
3.23242330551,6.25,"[0.2518949508666992, 0.2918431758880615, 0.3156580924987793, 0.3077239990234375, 0.29935598373413086, 0.2835268974304199, 0.29932498931884766, 0.3235440254211426, 0.27602505683898926, 0.2920401096343994, 0.2914860248565674]",1525863007.58,22
1.80036973953,25.0,"[0.26680994033813477, 0.2596290111541748, 0.24349308013916016, 0.2594609260559082, 0.21971583366394043, 0.2754499912261963, 0.27581095695495605]",1525863129.15,14
2.54335093498,0.0,"[0.22777009010314941, 0.28386688232421875, 0.21939992904663086, 0.21967601776123047, 0.22785305976867676, 0.21973586082458496, 0.2193460464477539, 0.2752039432525635, 0.2354750633239746, 0.21934914588928223, 0.19567489624023438]",1525863215.51,22
2.5406935215,3.125,"[0.24384498596191406, 0.2596709728240967, 0.2517218589782715, 0.251694917678833, 0.2434830665588379, 0.21950578689575195, 0.2757608890533447, 0.24382591247558594, 0.27570605278015137, 0.2754790782928467]",1525863282.1,20
4.09739160538,12.5,"[0.2916228771209717, 0.2916848659515381, 0.5473179817199707, 0.5796761512756348, 0.6112639904022217, 0.5717039108276367, 0.3556199073791504, 0.2517869472503662, 0.596714973449707]",1525863346.86,18
2.62878513336,3.125,"[0.20379900932312012, 0.2433619499206543, 0.20370101928710938, 0.2594320774078369, 0.259674072265625, 0.27603912353515625, 0.27574801445007324, 0.30764293670654297, 0.323760986328125, 0.27562594413757324]",1525863411.47,20
3.37355494499,12.5,"[0.24368715286254883, 0.26769185066223145, 0.2756798267364502, 0.30769801139831543, 0.27588796615600586, 0.3639819622039795, 0.28369903564453125, 0.2915079593658447, 0.3002140522003174, 0.2836270332336426, 0.27570104598999023, 0.204179048538208]",1525863476.62,23
1.56554508209,25.0,"[0.299346923828125, 0.2756690979003906, 0.2758660316467285, 0.27553606033325195, 0.25934910774230957, 0.1797778606414795]",1525863548.1,12
3.23671078682,6.25,"[0.26769113540649414, 0.25165581703186035, 0.29189586639404297, 0.27611708641052246, 0.26763391494750977, 0.2837679386138916, 0.2837190628051758, 0.28378987312316895, 0.25933408737182617, 0.2757129669189453, 0.2516939640045166, 0.2436990737915039]",1525863624.12,24
2.43243336678,0.0,"[0.21967005729675293, 0.21949291229248047, 0.2597529888153076, 0.21921801567077637, 0.2439420223236084, 0.21114110946655273, 0.1798410415649414, 0.1878819465637207, 0.2278900146484375, 0.2358250617980957, 0.22777819633483887]",1525863696.0,22
