cdt,dotx,key_press_list,traial_start,transient_counts
5.92954611778,0.0,"[1.6703929901123047, 1.1954619884490967, 0.7653911113739014, 0.395374059677124, 0.2594449520111084, 1.6434810161590576]",1525074611.6,12
6.23113632202,3.125,"[1.6038920879364014, 0.5635671615600586, 1.2687830924987793, 1.1234688758850098, 1.1397850513458252, 0.5316400527954102]",1525074698.72,12
0.991119861603,25.0,"[0.21954894065856934, 0.7715709209442139]",1525074764.17,4
4.82537817955,12.5,"[0.5716068744659424, 0.8033280372619629, 0.45186305046081543, 0.8917679786682129, 0.5236880779266357, 0.2597510814666748, 1.3233730792999268]",1525074869.48,14
5.75831604004,6.25,"[0.5476160049438477, 0.5960259437561035, 0.5795769691467285, 2.3715920448303223, 0.8477110862731934, 0.8157939910888672]",1525074951.64,11
4.4460978508,3.125,"[0.5234429836273193, 0.48347997665405273, 1.4832468032836914, 0.6722311973571777, 1.2836968898773193]",1525075059.79,10
0.363646030426,25.0,[0.3636460304260254],1525075128.71,2
3.43751645088,0.0,"[0.9957261085510254, 0.7632641792297363, 0.4836571216583252, 0.15542006492614746, 0.44358301162719727, 0.5958659648895264]",1525075203.06,12
3.4017829895,12.5,"[0.19552111625671387, 0.6594710350036621, 0.7476389408111572, 0.8995850086212158, 0.8995668888092041]",1525075293.4,10
3.73669433594,6.25,"[1.1475791931152344, 0.5555059909820557, 0.850750207901001, 0.3076610565185547, 0.8751978874206543]",1525075370.28,10
3.55306386948,6.25,"[0.39557504653930664, 0.715505838394165, 1.6026558876037598, 0.2197580337524414, 0.6195690631866455]",1525075448.01,10
0.7435567379,25.0,"[0.5798518657684326, 0.16370487213134766]",1525075609.52,4
4.54940772057,3.125,"[0.45955896377563477, 0.36371397972106934, 1.019171953201294, 1.0436959266662598, 1.211690902709961, 0.45157599449157715]",1525075728.55,12
4.31327605247,12.5,"[0.5554840564727783, 0.643604040145874, 0.44370508193969727, 0.8196969032287598, 0.795414924621582, 0.6196010112762451, 0.43577003479003906]",1525075820.44,14
7.81033539772,0.0,"[0.731468915939331, 1.4367048740386963, 1.907439947128296, 0.5476779937744141, 0.9320108890533447, 0.7874279022216797, 1.4676048755645752]",1525075885.97,14
