cdt,dotx,key_press_list,traial_start,transient_counts
7.98352527618,6.25,"[0.3853759765625, 1.4034998416900635, 0.9323379993438721, 0.9157178401947021, 0.8598740100860596, 0.7719008922576904, 0.827704906463623, 1.0273339748382568, 0.8597798347473145]",1526551219.68,18
6.2862830162,12.5,"[0.9392800331115723, 0.8513190746307373, 0.691903829574585, 0.8486039638519287, 1.0437250137329102, 0.9477970600128174, 0.9636540412902832]",1526551286.71,14
7.78338122368,0.0,"[2.3316597938537598, 0.7717649936676025, 0.5718607902526855, 0.5557219982147217, 0.5637648105621338, 0.9717268943786621, 0.9157400131225586, 1.1011419296264648]",1526551354.09,16
6.82325363159,25.0,"[1.1872830390930176, 1.2688398361206055, 0.8035328388214111, 1.1841599941253662, 2.3794379234313965]",1526551421.4,10
8.48339796066,3.125,"[0.9717209339141846, 1.100296974182129, 0.6798970699310303, 0.7877650260925293, 0.9877820014953613, 0.811776876449585, 0.6805329322814941, 0.739922046661377, 1.7237040996551514]",1526551490.54,18
7.54137945175,3.125,"[0.7076108455657959, 0.9795920848846436, 0.907750129699707, 1.139672040939331, 0.8197500705718994, 0.7717809677124023, 1.2356531620025635, 0.9795701503753662]",1526551558.86,16
9.3516740799,25.0,"[1.2516489028930664, 0.7314989566802979, 2.611865997314453, 0.8919210433959961, 2.8995959758758545, 0.7236940860748291, 0.24144911766052246]",1526551626.32,13
7.7258181572,12.5,"[0.9717910289764404, 0.8037428855895996, 1.2837159633636475, 0.6762921810150146, 0.9153649806976318, 1.2360000610351562, 0.7793281078338623, 1.0595829486846924]",1526551694.0,16
8.33337020874,6.25,"[0.8396179676055908, 1.4839179515838623, 1.1840851306915283, 0.779228925704956, 0.44360804557800293, 1.5478861331939697, 1.1156721115112305, 0.9393539428710938]",1526551762.54,16
6.85693621635,0.0,"[0.531696081161499, 0.7714600563049316, 0.7713320255279541, 0.8679931163787842, 0.6799781322479248, 0.9314789772033691, 0.9152848720550537, 1.3877129554748535]",1526551831.25,16
8.16303730011,12.5,"[1.571272850036621, 0.8472049236297607, 0.8760199546813965, 0.7795858383178711, 0.7474617958068848, 0.8594100475311279, 0.8477511405944824, 0.7237401008605957, 0.4677448272705078, 0.44284582138061523]",1526551899.29,19
8.51532697678,6.25,"[0.7634780406951904, 1.859090805053711, 0.7239589691162109, 0.8406879901885986, 0.5960648059844971, 0.8837788105010986, 0.9078779220581055, 0.6357419490814209, 1.291557788848877, 0.013089895248413086]",1526551967.72,19
7.34912157059,0.0,"[0.6913468837738037, 0.7797529697418213, 0.8115458488464355, 1.5876660346984863, 1.2681670188903809, 0.6833438873291016, 0.8676660060882568, 0.6596329212188721]",1526552038.33,16
5.55540299416,25.0,"[0.8676519393920898, 1.1634681224822998, 1.2519090175628662, 1.016676902770996, 0.6599180698394775, 0.5957789421081543]",1526552106.4,12
7.96664690971,3.125,"[0.8599729537963867, 0.7639298439025879, 0.795753002166748, 0.739933967590332, 0.4515981674194336, 1.5123958587646484, 0.9797759056091309, 0.9633750915527344, 0.8999121189117432]",1526552175.32,18
