pix, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
-9.0,-12.6,6,19.885740995407104,6.628580331802368,3.339799771375676,"[8.233070850372314, 1.979180097579956, 9.673490047454834]"
6.0,8.4,6,18.14962387084961,6.049874623616536,3.693539472169649,"[3.7149832248687744, 3.1707708835601807, 11.263869762420654]"
-30.0,-42.0,8,6.520840167999268,1.630210041999817,0.1479866205438864,"[1.5293920040130615, 1.5866060256958008, 1.5219969749450684, 1.882845163345337]"
-18.0,-25.2,4,5.099347829818726,2.549673914909363,1.3485130071640015,"[1.2011609077453613, 3.8981869220733643]"
18.0,25.2,6,5.463595151901245,1.8211983839670818,0.8413996569125549,"[2.9140641689300537, 0.8671340942382812, 1.6823968887329102]"
-6.0,-8.4,6,23.351074695587158,7.78369156519572,6.433109970585118,"[5.897806882858276, 16.434417963027954, 1.0188498497009277]"
0.0,0.0,6,15.798625946044922,5.266208648681641,2.8036362974961198,"[8.38548994064331, 1.5868680477142334, 5.826267957687378]"
9.0,12.6,10,6.897280693054199,1.37945613861084,0.8883524027194375,"[1.7847661972045898, 1.234790325164795, 0.5992400646209717, 0.41104602813720703, 2.8674380779266357]"
-18.0,-25.2,6,7.348950147628784,2.4496500492095947,1.658532322666749,"[4.4816131591796875, 2.4482810497283936, 0.4190559387207031]"
9.0,12.6,8,8.114454984664917,2.0286137461662292,0.5721667632441411,"[1.6258423328399658, 2.450716018676758, 1.3229176998138428, 2.7149789333343506]"
-30.0,-42.0,6,7.310965061187744,2.436988353729248,0.9644341224625403,"[2.8097732067108154, 3.386806011199951, 1.1143858432769775]"
-6.0,-8.4,8,19.512996435165405,4.878249108791351,4.958596165804159,"[1.7941620349884033, 0.3710811138153076, 4.2179272174835205, 13.129826068878174]"
6.0,8.4,8,11.946161270141602,2.9865403175354004,2.5245289104138635,"[2.793220043182373, 0.40294408798217773, 1.643239974975586, 7.106757164001465]"
18.0,25.2,6,5.2225728034973145,1.7408576011657715,1.0972520962924288,"[1.0414330959320068, 0.8909668922424316, 3.290172815322876]"
-9.0,-12.6,4,22.58472490310669,11.292362451553345,7.778919458389282,"[3.5134429931640625, 19.071281909942627]"
0.0,0.0,8,18.90191102027893,4.725477755069733,2.0169552275959264,"[4.569649934768677, 1.5382978916168213, 6.898073196411133, 5.8958899974823]"
6.0,8.4,6,6.200400114059448,2.066800038019816,0.4252628500078051,"[2.50580096244812, 2.2032930850982666, 1.4913060665130615]"
0.0,0.0,6,26.246474742889404,8.748824914296469,7.203109839123455,"[5.321315050125122, 2.1549737453460693, 18.770185947418213]"
-30.0,-42.0,8,4.307098627090454,1.0767746567726135,0.44628543437112744,"[1.6577568054199219, 1.270521879196167, 0.4429330825805664, 0.9358868598937988]"
-18.0,-25.2,6,2.935835123062134,0.9786117076873779,0.5978090331938514,"[1.7539560794830322, 0.2990589141845703, 0.8828201293945312]"
9.0,12.6,4,9.09985899925232,4.54992949962616,1.3299754858016968,"[5.8799049854278564, 3.219954013824463]"
18.0,25.2,8,2.496664047241211,0.6241660118103027,0.34890899939515724,"[0.426821231842041, 1.1515650749206543, 0.21894383430480957, 0.699333906173706]"
-6.0,-8.4,4,18.547726154327393,9.273863077163696,1.904412031173706,"[7.36945104598999, 11.178275108337402]"
-9.0,-12.6,4,23.80472421646118,11.90236210823059,6.178494930267334,"[18.080857038497925, 5.723867177963257]"
