size, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
0.0,0.0,20,19.280015468597412,1.9280015468597411,1.5906774146260072,"[1.6995201110839844, 1.691831111907959, 0.3076958656311035, 1.3155930042266846, 0.3468329906463623, 5.650990724563599, 2.6267881393432617, 0.5555460453033447, 3.705787181854248, 1.3794302940368652]"
-9.0,-12.6,20,13.765440702438354,1.3765440702438354,0.7553607550970423,"[1.3633220195770264, 0.9331479072570801, 0.8834631443023682, 1.6267518997192383, 0.6991298198699951, 2.1848320960998535, 0.651543140411377, 1.3314149379730225, 0.8911049365997314, 3.200730800628662]"
0.0,0.0,20,20.852237224578857,2.0852237224578856,0.9164865530553706,"[1.7790746688842773, 2.651951789855957, 0.7871692180633545, 3.419840097427368, 0.6276171207427979, 3.139730215072632, 1.483551025390625, 2.9492859840393066, 1.7233080863952637, 2.2907090187072754]"
-9.0,-12.6,30,11.203928232192993,0.7469285488128662,0.3649227631586535,"[0.27579498291015625, 0.8029682636260986, 0.3558030128479004, 1.2514100074768066, 0.7236537933349609, 1.043884038925171, 0.4037051200866699, 0.7000570297241211, 0.9152638912200928, 0.5793137550354004, 0.3954331874847412, 0.681736946105957, 1.6279020309448242, 1.0355710983276367, 0.41143107414245605]"
-9.0,-12.6,32,14.566780805587769,0.9104238003492355,0.3697451139311972,"[1.4363718032836914, 0.9071869850158691, 0.5961573123931885, 1.3545820713043213, 0.4036860466003418, 0.6117281913757324, 0.8036398887634277, 0.827387809753418, 1.1233220100402832, 0.7788510322570801, 1.4593417644500732, 0.850712776184082, 0.5392911434173584, 1.5629520416259766, 0.9637489318847656, 0.3478209972381592]"
0.0,0.0,24,18.852097988128662,1.5710081656773884,1.1527406665154178,"[1.4356658458709717, 0.5557770729064941, 0.36384010314941406, 2.8115947246551514, 1.6208529472351074, 1.6676771640777588, 0.5715930461883545, 1.075659990310669, 1.018476963043213, 4.027585029602051, 3.2916109561920166, 0.41176414489746094]"
-9.0,-12.6,16,9.884742736816406,1.2355928421020508,0.8591288534188335,"[0.7232351303100586, 0.3713228702545166, 1.2696118354797363, 3.3702709674835205, 1.379533052444458, 0.9796030521392822, 0.9952700138092041, 0.7958958148956299]"
0.0,0.0,18,19.80344295501709,2.2003825505574546,1.1158119339377373,"[3.3701231479644775, 2.6986618041992188, 3.73960280418396, 0.9876139163970947, 0.026975154876708984, 1.6989021301269531, 2.450881004333496, 2.971398115158081, 1.8592848777770996]"
-9.0,-12.6,28,14.621824026107788,1.044416001864842,0.6188045868053208,"[2.131225109100342, 0.539963960647583, 1.2110950946807861, 2.4674599170684814, 0.43513989448547363, 0.6796338558197021, 0.7647690773010254, 1.355694055557251, 0.8754560947418213, 0.1953129768371582, 0.8588979244232178, 1.2690949440002441, 1.3234951496124268, 0.5145859718322754]"
0.0,0.0,20,18.392150402069092,1.8392150402069092,1.190904309657339,"[1.2113769054412842, 0.9071691036224365, 2.362220048904419, 1.5131771564483643, 3.3609542846679688, 0.8025331497192383, 0.8408217430114746, 2.0673000812530518, 0.8272209167480469, 4.499377012252808]"
-9.0,-12.6,24,11.881937265396118,0.9901614387830099,0.7237749739248883,"[0.28406190872192383, 0.7952308654785156, 2.8275656700134277, 1.035295009613037, 0.2601931095123291, 0.8033280372619629, 1.7874739170074463, 0.42786312103271484, 1.4675939083099365, 0.739642858505249, 1.1864728927612305, 0.2672159671783447]"
0.0,0.0,16,21.02097487449646,2.6276218593120575,1.7672507138775753,"[6.651723623275757, 3.1178669929504395, 2.781283140182495, 3.091391086578369, 0.35564494132995605, 1.467379093170166, 1.353177785873413, 2.2025082111358643]"
0.0,0.0,26,20.6311194896698,1.5870091915130615,0.9694509682461231,"[0.4756178855895996, 2.8914549350738525, 2.467067003250122, 0.6274118423461914, 1.1066620349884033, 1.354550838470459, 3.659497022628784, 1.499871015548706, 1.5796520709991455, 2.4038350582122803, 0.23593401908874512, 0.8918569087982178, 1.437708854675293]"
-9.0,-12.6,24,18.176496982574463,1.5147080818812053,0.9866453477139678,"[0.17962026596069336, 3.2907392978668213, 1.0833978652954102, 0.5040888786315918, 2.4468181133270264, 2.075672149658203, 2.9632372856140137, 0.46730995178222656, 1.8994512557983398, 0.5475029945373535, 1.4753358364105225, 1.2433230876922607]"
0.0,0.0,20,21.583518743515015,2.1583518743515016,1.6418007214219466,"[3.571463108062744, 4.331416130065918, 1.0437841415405273, 0.09123992919921875, 0.715224027633667, 4.4566168785095215, 3.4036099910736084, 2.827681064605713, 0.9710197448730469, 0.1714637279510498]"
-9.0,-12.6,30,15.079400062561035,1.005293337504069,0.35570725765876693,"[1.8668382167816162, 0.9158048629760742, 1.1233868598937988, 1.3715040683746338, 0.8754260540008545, 0.8033299446105957, 0.563971996307373, 0.6352920532226562, 0.7955150604248047, 1.1849040985107422, 1.0348541736602783, 1.1857049465179443, 1.2673418521881104, 1.1004998683929443, 0.3550260066986084]"
-9.0,-12.6,24,14.172432899475098,1.181036074956258,0.7460603702613197,"[0.37169814109802246, 0.4358201026916504, 2.370637893676758, 0.11586213111877441, 2.2917981147766113, 0.7231519222259521, 1.5120518207550049, 2.0249500274658203, 0.9954819679260254, 0.7237949371337891, 0.8674750328063965, 1.739710807800293]"
0.0,0.0,18,15.21762490272522,1.6908472114139133,1.4791481724557405,"[1.6426241397857666, 1.8673388957977295, 0.9342279434204102, 0.9792962074279785, 1.4114587306976318, 0.04330706596374512, 0.02706003189086914, 3.4994471073150635, 4.812864780426025]"
